  260,20180903,   40
  260,20180904,   30
  260,20180905,   40
  260,20180906,   30
  260,20180907,   60
  260,20180908,   60
  260,20180909,   50
  260,20180910,   40
  260,20180911,   80
  260,20180912,   50
  260,20180913,   30
  260,20180914,   50
  260,20180915,   40
  260,20180916,   50
  260,20180917,   50
  260,20180918,   70
  260,20180919,   70
  260,20180920,   60
  260,20180921,   80
  260,20180922,   60
  260,20180923,   40
  260,20180924,   50
  260,20180925,   30
  260,20180926,   50
  260,20180927,   40
  260,20180928,   50
  260,20180929,   20
  260,20180930,   40
  260,20181001,   60
  260,20181002,   60
  260,20181003,   40
  260,20181004,   50
  260,20181005,   30
  260,20181006,   60
  260,20181007,   60
  260,20181008,   40
  260,20181009,   30
  260,20181010,   50
  260,20181011,   50
  260,20181012,   60
  260,20181013,   50
  260,20181014,   70
  260,20181015,   50
  260,20181016,   30
  260,20181017,   30
  260,20181018,   50
  260,20181019,   40
  260,20181020,   20
  260,20181021,   30
  260,20181022,   50
  260,20181023,   60
  260,20181024,   60
  260,20181025,   40
  260,20181026,   50
  260,20181027,   40
  260,20181028,   60
  260,20181029,   60
  260,20181030,   60
  260,20181031,   60
  260,20181101,   50
  260,20181102,   40
  260,20181103,   30
  260,20181104,   30
  260,20181105,   40
  260,20181106,   50
  260,20181107,   60
  260,20181108,   40
  260,20181109,   40
  260,20181110,   70
  260,20181111,   60
  260,20181112,   40
  260,20181113,   70
  260,20181114,   40
  260,20181115,   40
  260,20181116,   40
  260,20181117,   40
  260,20181118,   60
  260,20181119,   60
  260,20181120,   90
  260,20181121,   60
  260,20181122,   40
  260,20181123,   30
  260,20181124,   40
  260,20181125,   40
  260,20181126,   50
  260,20181127,   50
  260,20181128,   60
  260,20181129,   60
  260,20181130,   60
  260,20181201,   60
  260,20181202,   60
  260,20181203,   60
  260,20181204,   30
  260,20181205,   50
  260,20181206,   60
  260,20181207,   80
  260,20181208,   80
  260,20181209,   80
  260,20181210,   50
  260,20181211,   20
  260,20181212,   40
  260,20181213,   60
  260,20181214,   50
  260,20181215,   80
  260,20181216,   70
  260,20181217,   40
  260,20181218,   60
  260,20181219,   60
  260,20181220,   70
  260,20181221,   90
  260,20181222,   60
  260,20181223,   40
  260,20181224,   20
  260,20181225,   40
  260,20181226,   30
  260,20181227,   20
  260,20181228,   20
  260,20181229,   70
  260,20181230,   50
  260,20181231,   40
  260,20190101,   50
  260,20190102,   50
  260,20190103,   30
  260,20190104,   40
  260,20190105,   60
